date,active_energy_burned,active_energy_burned_goal,apple_exercise_time,apple_exercise_time_goal,apple_stand_hours,apple_stand_hours_goal
2025-05-23,739.0,500.0,68.0,30.0,10.0,12.0
2025-05-24,877.0,500.0,71.0,30.0,14.0,12.0
2025-05-25,290.0,500.0,13.0,30.0,10.0,12.0
2025-05-26,810.0,500.0,37.0,30.0,11.0,12.0
2025-05-27,852.0,500.0,55.0,30.0,12.0,12.0
2025-05-28,434.0,500.0,40.0,30.0,8.0,12.0
2025-05-29,705.0,500.0,29.0,30.0,11.0,12.0
2025-05-30,503.0,500.0,15.0,30.0,8.0,12.0
2025-05-31,626.0,500.0,50.0,30.0,12.0,12.0
2025-06-01,334.0,500.0,5.0,30.0,9.0,12.0
2025-06-02,597.0,500.0,15.0,30.0,9.0,12.0
2025-06-03,882.0,500.0,48.0,30.0,11.0,12.0
2025-06-04,353.0,500.0,17.0,30.0,13.0,12.0
2025-06-05,790.0,500.0,68.0,30.0,6.0,12.0
2025-06-06,748.0,500.0,39.0,30.0,8.0,12.0
2025-06-07,630.0,500.0,46.0,30.0,10.0,12.0
2025-06-08,340.0,500.0,15.0,30.0,7.0,12.0
2025-06-09,679.0,500.0,33.0,30.0,10.0,12.0
2025-06-10,829.0,500.0,45.0,30.0,7.0,12.0
2025-06-11,416.0,500.0,11.0,30.0,9.0,12.0
2025-06-12,596.0,500.0,34.0,30.0,10.0,12.0
2025-06-13,874.0,500.0,59.0,30.0,10.0,12.0
2025-06-14,827.0,500.0,65.0,30.0,7.0,12.0
2025-06-15,313.0,500.0,6.0,30.0,6.0,12.0
2025-06-16,551.0,500.0,15.0,30.0,6.0,12.0
2025-06-17,914.0,500.0,54.0,30.0,13.0,12.0
2025-06-18,372.0,500.0,22.0,30.0,15.0,12.0
2025-06-19,581.0,500.0,35.0,30.0,13.0,12.0
2025-06-20,791.0,500.0,70.0,30.0,9.0,12.0
2025-06-21,622.0,500.0,39.0,30.0,11.0,12.0
2025-06-22,316.0,500.0,12.0,30.0,8.0,12.0
2025-06-23,613.0,500.0,7.0,30.0,7.0,12.0
2025-06-24,733.0,500.0,36.0,30.0,11.0,12.0
2025-06-25,377.0,500.0,21.0,30.0,11.0,12.0
2025-06-26,546.0,500.0,9.0,30.0,7.0,12.0
2025-06-27,539.0,500.0,10.0,30.0,11.0,12.0
2025-06-28,800.0,500.0,62.0,30.0,8.0,12.0
2025-06-29,320.0,500.0,8.0,30.0,9.0,12.0
2025-06-30,536.0,500.0,2.0,30.0,10.0,12.0
2025-07-01,755.0,500.0,38.0,30.0,10.0,12.0
2025-07-02,635.0,500.0,84.0,30.0,12.0,12.0
2025-07-03,774.0,500.0,59.0,30.0,9.0,12.0
2025-07-04,658.0,500.0,8.0,30.0,13.0,12.0
2025-07-05,768.0,500.0,43.0,30.0,11.0,12.0
2025-07-06,324.0,500.0,3.0,30.0,13.0,12.0
2025-07-07,693.0,500.0,47.0,30.0,11.0,12.0
2025-07-08,607.0,500.0,48.0,30.0,10.0,12.0
2025-07-09,380.0,500.0,27.0,30.0,11.0,12.0
2025-07-10,844.0,500.0,34.0,30.0,10.0,12.0
2025-07-11,722.0,500.0,41.0,30.0,10.0,12.0
2025-07-12,755.0,500.0,32.0,30.0,8.0,12.0
2025-07-13,374.0,500.0,11.0,30.0,11.0,12.0
2025-07-14,597.0,500.0,48.0,30.0,11.0,12.0
2025-07-15,584.0,500.0,48.0,30.0,8.0,12.0
2025-07-16,322.0,500.0,29.0,30.0,8.0,12.0
2025-07-17,808.0,500.0,69.0,30.0,14.0,12.0
2025-07-18,775.0,500.0,38.0,30.0,8.0,12.0
2025-07-19,579.0,500.0,13.0,30.0,7.0,12.0
2025-07-20,412.0,500.0,13.0,30.0,9.0,12.0
2025-07-21,690.0,500.0,47.0,30.0,11.0,12.0
2025-07-22,778.0,500.0,59.0,30.0,14.0,12.0
2025-07-23,515.0,500.0,27.0,30.0,7.0,12.0
2025-07-24,743.0,500.0,50.0,30.0,9.0,12.0
2025-07-25,627.0,500.0,8.0,30.0,4.0,12.0
2025-07-26,901.0,500.0,75.0,30.0,8.0,12.0
2025-07-27,360.0,500.0,,30.0,8.0,12.0
2025-07-28,543.0,500.0,30.0,30.0,11.0,12.0
2025-07-29,780.0,500.0,55.0,30.0,12.0,12.0
2025-07-30,380.0,500.0,23.0,30.0,8.0,12.0
2025-07-31,726.0,500.0,46.0,30.0,8.0,12.0
2025-08-01,523.0,500.0,30.0,30.0,6.0,12.0
2025-08-02,721.0,500.0,48.0,30.0,10.0,12.0
2025-08-03,266.0,500.0,12.0,30.0,6.0,12.0
2025-08-04,626.0,500.0,14.0,30.0,7.0,12.0
2025-08-05,799.0,500.0,55.0,30.0,12.0,12.0
2025-08-06,280.0,500.0,7.0,30.0,9.0,12.0
2025-08-07,564.0,500.0,8.0,30.0,9.0,12.0
2025-08-08,520.0,500.0,14.0,30.0,10.0,12.0
2025-08-09,800.0,500.0,55.0,30.0,7.0,12.0
2025-08-10,418.0,500.0,11.0,30.0,7.0,12.0
2025-08-11,468.0,500.0,10.0,30.0,7.0,12.0
2025-08-12,771.0,500.0,71.0,30.0,10.0,12.0
2025-08-13,500.0,500.0,46.0,30.0,8.0,12.0
2025-08-14,915.0,500.0,76.0,30.0,11.0,12.0
2025-08-15,610.0,500.0,30.0,30.0,7.0,12.0
2025-08-16,483.0,500.0,8.0,30.0,8.0,12.0
2025-08-17,298.0,500.0,13.0,30.0,8.0,12.0
2025-08-18,673.0,500.0,54.0,30.0,12.0,12.0
2025-08-19,906.0,500.0,54.0,30.0,11.0,12.0
2025-08-20,336.0,500.0,12.0,30.0,10.0,12.0
2025-08-21,644.0,500.0,50.0,30.0,9.0,12.0
2025-08-22,688.0,500.0,26.0,30.0,11.0,12.0
2025-08-23,761.0,500.0,50.0,30.0,9.0,12.0
2025-08-24,405.0,500.0,6.0,30.0,9.0,12.0
2025-08-25,494.0,500.0,15.0,30.0,11.0,12.0
2025-08-26,543.0,500.0,6.0,30.0,9.0,12.0
2025-08-27,454.0,500.0,26.0,30.0,9.0,12.0
2025-08-28,682.0,500.0,45.0,30.0,11.0,12.0
2025-08-29,644.0,500.0,35.0,30.0,10.0,12.0
2025-08-30,675.0,500.0,28.0,30.0,10.0,12.0
2025-08-31,320.0,500.0,,30.0,9.0,12.0
2025-09-01,713.0,500.0,53.0,30.0,10.0,12.0
2025-09-02,467.0,500.0,13.0,30.0,10.0,12.0
2025-09-03,482.0,500.0,25.0,30.0,10.0,12.0
2025-09-04,693.0,500.0,44.0,30.0,11.0,12.0
2025-09-05,692.0,500.0,55.0,30.0,12.0,12.0
2025-09-06,495.0,500.0,11.0,30.0,12.0,12.0
2025-09-07,256.0,500.0,7.0,30.0,8.0,12.0
2025-09-08,694.0,500.0,45.0,30.0,10.0,12.0
2025-09-09,781.0,500.0,48.0,30.0,10.0,12.0
2025-09-10,375.0,500.0,4.0,30.0,8.0,12.0
2025-09-11,743.0,500.0,49.0,30.0,6.0,12.0
2025-09-12,753.0,500.0,49.0,30.0,6.0,12.0
2025-09-13,854.0,500.0,79.0,30.0,8.0,12.0
2025-09-14,353.0,500.0,8.0,30.0,9.0,12.0
2025-09-15,526.0,500.0,32.0,30.0,9.0,12.0
2025-09-16,835.0,500.0,54.0,30.0,8.0,12.0
2025-09-17,362.0,500.0,25.0,30.0,7.0,12.0
2025-09-18,425.0,500.0,13.0,30.0,8.0,12.0
2025-09-19,530.0,500.0,22.0,30.0,9.0,12.0
2025-09-20,491.0,500.0,,30.0,10.0,12.0
2025-09-21,304.0,500.0,11.0,30.0,9.0,12.0
2025-09-22,613.0,500.0,52.0,30.0,6.0,12.0
2025-09-23,524.0,500.0,12.0,30.0,12.0,12.0
2025-09-24,297.0,500.0,14.0,30.0,14.0,12.0
2025-09-25,427.0,500.0,24.0,30.0,16.0,12.0
2025-09-26,888.0,500.0,75.0,30.0,8.0,12.0
2025-09-27,667.0,500.0,49.0,30.0,12.0,12.0
2025-09-28,320.0,500.0,12.0,30.0,12.0,12.0
2025-09-29,486.0,500.0,7.0,30.0,8.0,12.0
2025-09-30,485.0,500.0,8.0,30.0,13.0,12.0
2025-10-01,219.0,500.0,9.0,30.0,7.0,12.0
2025-10-02,747.0,500.0,40.0,30.0,6.0,12.0
2025-10-03,682.0,500.0,48.0,30.0,11.0,12.0
2025-10-04,576.0,500.0,57.0,30.0,12.0,12.0
2025-10-05,311.0,500.0,5.0,30.0,9.0,12.0
2025-10-06,674.0,500.0,49.0,30.0,10.0,12.0
2025-10-07,765.0,500.0,51.0,30.0,9.0,12.0
2025-10-08,336.0,500.0,23.0,30.0,6.0,12.0
2025-10-09,654.0,500.0,39.0,30.0,12.0,12.0
2025-10-10,740.0,500.0,33.0,30.0,6.0,12.0
2025-10-11,594.0,500.0,32.0,30.0,12.0,12.0
2025-10-12,314.0,500.0,14.0,30.0,8.0,12.0
2025-10-13,614.0,500.0,18.0,30.0,12.0,12.0
2025-10-14,514.0,500.0,5.0,30.0,11.0,12.0
2025-10-15,432.0,500.0,33.0,30.0,12.0,12.0
2025-10-16,616.0,500.0,56.0,30.0,9.0,12.0
2025-10-17,616.0,500.0,34.0,30.0,11.0,12.0
2025-10-18,840.0,500.0,69.0,30.0,8.0,12.0
2025-10-19,237.0,500.0,9.0,30.0,12.0,12.0
2025-10-20,783.0,500.0,58.0,30.0,7.0,12.0
2025-10-21,767.0,500.0,33.0,30.0,9.0,12.0
2025-10-22,341.0,500.0,24.0,30.0,8.0,12.0
2025-10-23,482.0,500.0,7.0,30.0,11.0,12.0
2025-10-24,519.0,500.0,4.0,30.0,8.0,12.0
2025-10-25,768.0,500.0,53.0,30.0,8.0,12.0
2025-10-26,205.0,500.0,7.0,30.0,9.0,12.0
2025-10-27,497.0,500.0,2.0,30.0,7.0,12.0
2025-10-28,520.0,500.0,8.0,30.0,8.0,12.0
2025-10-29,529.0,500.0,33.0,30.0,9.0,12.0
2025-10-30,531.0,500.0,37.0,30.0,7.0,12.0
2025-10-31,803.0,500.0,48.0,30.0,9.0,12.0
2025-11-01,645.0,500.0,41.0,30.0,9.0,12.0
2025-11-02,224.0,500.0,11.0,30.0,14.0,12.0
2025-11-03,514.0,500.0,25.0,30.0,10.0,12.0
2025-11-04,672.0,500.0,45.0,30.0,12.0,12.0
2025-11-05,273.0,500.0,,30.0,10.0,12.0
2025-11-06,527.0,500.0,9.0,30.0,6.0,12.0
2025-11-07,547.0,500.0,27.0,30.0,11.0,12.0
2025-11-08,450.0,500.0,8.0,30.0,8.0,12.0
2025-11-09,295.0,500.0,5.0,30.0,12.0,12.0
2025-11-10,614.0,500.0,54.0,30.0,11.0,12.0
2025-11-11,774.0,500.0,55.0,30.0,11.0,12.0
2025-11-12,341.0,500.0,32.0,30.0,7.0,12.0
2025-11-13,792.0,500.0,57.0,30.0,9.0,12.0
2025-11-14,457.0,500.0,,30.0,9.0,12.0
2025-11-15,865.0,500.0,58.0,30.0,9.0,12.0
2025-11-16,255.0,500.0,8.0,30.0,10.0,12.0
2025-11-17,616.0,500.0,43.0,30.0,10.0,12.0
2025-11-18,469.0,500.0,6.0,30.0,11.0,12.0
2025-11-19,310.0,500.0,25.0,30.0,10.0,12.0
2025-11-20,406.0,500.0,15.0,30.0,8.0,12.0
2025-11-21,413.0,500.0,10.0,30.0,9.0,12.0
2025-11-22,352.0,500.0,5.0,30.0,10.0,12.0
2025-11-23,344.0,500.0,3.0,30.0,9.0,12.0
2025-11-24,723.0,500.0,67.0,30.0,9.0,12.0
2025-11-25,530.0,500.0,10.0,30.0,8.0,12.0
2025-11-26,398.0,500.0,24.0,30.0,8.0,12.0
2025-11-27,355.0,500.0,13.0,30.0,7.0,12.0
2025-11-28,654.0,500.0,34.0,30.0,11.0,12.0
2025-11-29,494.0,500.0,10.0,30.0,9.0,12.0
2025-11-30,310.0,500.0,13.0,30.0,13.0,12.0
2025-12-01,512.0,500.0,2.0,30.0,8.0,12.0
2025-12-02,660.0,500.0,24.0,30.0,6.0,12.0
2025-12-03,464.0,500.0,40.0,30.0,11.0,12.0
2025-12-04,419.0,500.0,,30.0,10.0,12.0
2025-12-05,709.0,500.0,30.0,30.0,8.0,12.0
2025-12-06,711.0,500.0,61.0,30.0,5.0,12.0
2025-12-07,263.0,500.0,12.0,30.0,7.0,12.0
2025-12-08,606.0,500.0,24.0,30.0,11.0,12.0
2025-12-09,692.0,500.0,48.0,30.0,11.0,12.0
2025-12-10,259.0,500.0,12.0,30.0,9.0,12.0
2025-12-11,519.0,500.0,53.0,30.0,11.0,12.0
2025-12-12,404.0,500.0,1.0,30.0,7.0,12.0
2025-12-13,733.0,500.0,51.0,30.0,10.0,12.0
2025-12-14,230.0,500.0,8.0,30.0,11.0,12.0
2025-12-15,396.0,500.0,18.0,30.0,9.0,12.0
2025-12-16,385.0,500.0,10.0,30.0,11.0,12.0
2025-12-17,375.0,500.0,26.0,30.0,7.0,12.0
2025-12-18,597.0,500.0,50.0,30.0,8.0,12.0
2025-12-19,546.0,500.0,20.0,30.0,9.0,12.0
2025-12-20,659.0,500.0,50.0,30.0,12.0,12.0
2025-12-21,288.0,500.0,14.0,30.0,7.0,12.0
2025-12-22,644.0,500.0,39.0,30.0,10.0,12.0
2025-12-23,782.0,500.0,63.0,30.0,12.0,12.0
2025-12-24,192.0,500.0,13.0,30.0,13.0,12.0
2025-12-25,571.0,500.0,8.0,30.0,11.0,12.0
2025-12-26,486.0,500.0,13.0,30.0,10.0,12.0
2025-12-27,332.0,500.0,7.0,30.0,9.0,12.0
2025-12-28,254.0,500.0,9.0,30.0,11.0,12.0
2025-12-29,594.0,500.0,57.0,30.0,6.0,12.0
2025-12-30,706.0,500.0,51.0,30.0,11.0,12.0
2025-12-31,272.0,500.0,12.0,30.0,6.0,12.0
2026-01-01,702.0,500.0,41.0,30.0,8.0,12.0
2026-01-02,765.0,500.0,45.0,30.0,9.0,12.0
2026-01-03,429.0,500.0,3.0,30.0,8.0,12.0
2026-01-04,175.0,500.0,6.0,30.0,9.0,12.0
2026-01-05,464.0,500.0,13.0,30.0,11.0,12.0
2026-01-06,684.0,500.0,56.0,30.0,9.0,12.0
2026-01-07,260.0,500.0,43.0,30.0,11.0,12.0
2026-01-08,516.0,500.0,36.0,30.0,9.0,12.0
2026-01-09,542.0,500.0,31.0,30.0,12.0,12.0
2026-01-10,472.0,500.0,14.0,30.0,7.0,12.0
2026-01-11,231.0,500.0,14.0,30.0,11.0,12.0
2026-01-12,387.0,500.0,15.0,30.0,14.0,12.0
2026-01-13,763.0,500.0,56.0,30.0,8.0,12.0
2026-01-14,480.0,500.0,45.0,30.0,9.0,12.0
2026-01-15,430.0,500.0,1.0,30.0,11.0,12.0
2026-01-16,470.0,500.0,10.0,30.0,13.0,12.0
2026-01-17,488.0,500.0,9.0,30.0,9.0,12.0
2026-01-18,245.0,500.0,,30.0,12.0,12.0
2026-01-19,752.0,500.0,60.0,30.0,9.0,12.0
2026-01-20,681.0,500.0,55.0,30.0,10.0,12.0
2026-01-21,327.0,500.0,27.0,30.0,9.0,12.0
2026-01-22,516.0,500.0,2.0,30.0,10.0,12.0
2026-01-23,610.0,500.0,39.0,30.0,8.0,12.0
2026-01-24,551.0,500.0,28.0,30.0,11.0,12.0
2026-01-25,299.0,500.0,4.0,30.0,10.0,12.0
2026-01-26,486.0,500.0,2.0,30.0,6.0,12.0
2026-01-27,441.0,500.0,12.0,30.0,11.0,12.0
2026-01-28,312.0,500.0,3.0,30.0,14.0,12.0
2026-01-29,784.0,500.0,49.0,30.0,9.0,12.0
2026-01-30,600.0,500.0,26.0,30.0,9.0,12.0
2026-01-31,465.0,500.0,9.0,30.0,9.0,12.0
2026-02-01,276.0,500.0,10.0,30.0,9.0,12.0
2026-02-02,455.0,500.0,3.0,30.0,7.0,12.0
2026-02-03,652.0,500.0,31.0,30.0,11.0,12.0
2026-02-04,306.0,500.0,5.0,30.0,8.0,12.0
2026-02-05,665.0,500.0,29.0,30.0,8.0,12.0
2026-02-06,532.0,500.0,22.0,30.0,11.0,12.0
2026-02-07,678.0,500.0,40.0,30.0,10.0,12.0
2026-02-08,258.0,500.0,9.0,30.0,9.0,12.0
2026-02-09,648.0,500.0,24.0,30.0,7.0,12.0
2026-02-10,610.0,500.0,40.0,30.0,8.0,12.0
2026-02-11,219.0,500.0,5.0,30.0,10.0,12.0
2026-02-12,441.0,500.0,13.0,30.0,10.0,12.0
2026-02-13,404.0,500.0,10.0,30.0,12.0,12.0
2026-02-14,710.0,500.0,32.0,30.0,9.0,12.0
2026-02-15,275.0,500.0,13.0,30.0,10.0,12.0
2026-02-16,581.0,500.0,33.0,30.0,9.0,12.0
2026-02-17,593.0,500.0,31.0,30.0,11.0,12.0
2026-02-18,343.0,500.0,29.0,30.0,10.0,12.0
2026-02-19,538.0,500.0,7.0,30.0,6.0,12.0
2026-02-20,604.0,500.0,45.0,30.0,8.0,12.0
2026-02-21,582.0,500.0,21.0,30.0,7.0,12.0
2026-02-22,328.0,500.0,11.0,30.0,10.0,12.0
2026-02-23,689.0,500.0,34.0,30.0,11.0,12.0
2026-02-24,886.0,500.0,80.0,30.0,8.0,12.0
2026-02-25,240.0,500.0,10.0,30.0,9.0,12.0
2026-02-26,519.0,500.0,14.0,30.0,13.0,12.0
2026-02-27,552.0,500.0,31.0,30.0,5.0,12.0
2026-02-28,739.0,500.0,56.0,30.0,10.0,12.0
2026-03-01,258.0,500.0,1.0,30.0,12.0,12.0
2026-03-02,767.0,500.0,46.0,30.0,9.0,12.0
2026-03-03,534.0,500.0,3.0,30.0,9.0,12.0
2026-03-04,273.0,500.0,10.0,30.0,12.0,12.0
2026-03-05,792.0,500.0,62.0,30.0,9.0,12.0
2026-03-06,480.0,500.0,6.0,30.0,14.0,12.0
2026-03-07,392.0,500.0,4.0,30.0,7.0,12.0
2026-03-08,233.0,500.0,7.0,30.0,9.0,12.0
2026-03-09,758.0,500.0,58.0,30.0,11.0,12.0
2026-03-10,492.0,500.0,10.0,30.0,10.0,12.0
2026-03-11,358.0,500.0,45.0,30.0,7.0,12.0
2026-03-12,555.0,500.0,49.0,30.0,11.0,12.0
2026-03-13,585.0,500.0,2.0,30.0,13.0,12.0
2026-03-14,741.0,500.0,45.0,30.0,8.0,12.0
2026-03-15,246.0,500.0,14.0,30.0,10.0,12.0
2026-03-16,715.0,500.0,52.0,30.0,10.0,12.0
2026-03-17,415.0,500.0,15.0,30.0,10.0,12.0
2026-03-18,369.0,500.0,28.0,30.0,7.0,12.0
2026-03-19,713.0,500.0,42.0,30.0,10.0,12.0
2026-03-20,499.0,500.0,12.0,30.0,6.0,12.0
2026-03-21,880.0,500.0,44.0,30.0,12.0,12.0
2026-03-22,286.0,500.0,6.0,30.0,9.0,12.0
2026-03-23,673.0,500.0,54.0,30.0,11.0,12.0
2026-03-24,667.0,500.0,56.0,30.0,12.0,12.0
2026-03-25,444.0,500.0,37.0,30.0,10.0,12.0
2026-03-26,529.0,500.0,14.0,30.0,10.0,12.0
2026-03-27,521.0,500.0,10.0,30.0,11.0,12.0
2026-03-28,513.0,500.0,13.0,30.0,6.0,12.0
2026-03-29,408.0,500.0,1.0,30.0,7.0,12.0
2026-03-30,588.0,500.0,28.0,30.0,12.0,12.0
2026-03-31,661.0,500.0,73.0,30.0,6.0,12.0
2026-04-01,309.0,500.0,14.0,30.0,8.0,12.0
2026-04-02,681.0,500.0,40.0,30.0,11.0,12.0
2026-04-03,701.0,500.0,33.0,30.0,12.0,12.0
2026-04-04,851.0,500.0,64.0,30.0,8.0,12.0
2026-04-05,405.0,500.0,13.0,30.0,7.0,12.0
2026-04-06,611.0,500.0,1.0,30.0,10.0,12.0
2026-04-07,744.0,500.0,33.0,30.0,11.0,12.0
2026-04-08,353.0,500.0,15.0,30.0,11.0,12.0
2026-04-09,550.0,500.0,1.0,30.0,11.0,12.0
2026-04-10,829.0,500.0,45.0,30.0,8.0,12.0
2026-04-11,815.0,500.0,66.0,30.0,9.0,12.0
2026-04-12,291.0,500.0,6.0,30.0,9.0,12.0
2026-04-13,655.0,500.0,44.0,30.0,7.0,12.0
2026-04-14,515.0,500.0,3.0,30.0,8.0,12.0
