from_type,from_id,to_type,to_id,rel_type,hours_between
Day,2025-08-04,Day,2025-08-05,NEXT_DAY,
Day,2025-08-05,Day,2025-08-06,NEXT_DAY,
Day,2025-08-06,Day,2025-08-07,NEXT_DAY,
Day,2025-08-07,Day,2025-08-08,NEXT_DAY,
Day,2025-08-08,Day,2025-08-09,NEXT_DAY,
Day,2025-08-09,Day,2025-08-10,NEXT_DAY,
Day,2025-08-10,Day,2025-08-11,NEXT_DAY,
Day,2025-08-11,Day,2025-08-12,NEXT_DAY,
Day,2025-08-12,Day,2025-08-13,NEXT_DAY,
Day,2025-08-13,Day,2025-08-14,NEXT_DAY,
Day,2025-08-14,Day,2025-08-15,NEXT_DAY,
Day,2025-08-15,Day,2025-08-16,NEXT_DAY,
Day,2025-08-16,Day,2025-08-17,NEXT_DAY,
Day,2025-08-17,Day,2025-08-18,NEXT_DAY,
Day,2025-08-18,Day,2025-08-19,NEXT_DAY,
Day,2025-08-19,Day,2025-08-20,NEXT_DAY,
Day,2025-08-20,Day,2025-08-21,NEXT_DAY,
Day,2025-08-21,Day,2025-08-22,NEXT_DAY,
Day,2025-08-22,Day,2025-08-23,NEXT_DAY,
Day,2025-08-23,Day,2025-08-24,NEXT_DAY,
Day,2025-08-24,Day,2025-08-25,NEXT_DAY,
Day,2025-08-25,Day,2025-08-26,NEXT_DAY,
Day,2025-08-26,Day,2025-08-27,NEXT_DAY,
Day,2025-08-27,Day,2025-08-28,NEXT_DAY,
Day,2025-08-28,Day,2025-08-29,NEXT_DAY,
Day,2025-08-29,Day,2025-08-30,NEXT_DAY,
Day,2025-08-30,Day,2025-08-31,NEXT_DAY,
Day,2025-08-31,Day,2025-09-01,NEXT_DAY,
Day,2025-09-01,Day,2025-09-02,NEXT_DAY,
Day,2025-09-02,Day,2025-09-03,NEXT_DAY,
Day,2025-09-03,Day,2025-09-04,NEXT_DAY,
Day,2025-09-04,Day,2025-09-05,NEXT_DAY,
Day,2025-09-05,Day,2025-09-06,NEXT_DAY,
Day,2025-09-06,Day,2025-09-07,NEXT_DAY,
Day,2025-09-07,Day,2025-09-08,NEXT_DAY,
Day,2025-09-08,Day,2025-09-09,NEXT_DAY,
Day,2025-09-09,Day,2025-09-10,NEXT_DAY,
Day,2025-09-10,Day,2025-09-11,NEXT_DAY,
Day,2025-09-11,Day,2025-09-12,NEXT_DAY,
Day,2025-09-12,Day,2025-09-13,NEXT_DAY,
Day,2025-09-13,Day,2025-09-14,NEXT_DAY,
Day,2025-09-14,Day,2025-09-15,NEXT_DAY,
Day,2025-09-15,Day,2025-09-16,NEXT_DAY,
Day,2025-09-16,Day,2025-09-17,NEXT_DAY,
Day,2025-09-17,Day,2025-09-18,NEXT_DAY,
Day,2025-09-18,Day,2025-09-19,NEXT_DAY,
Day,2025-09-19,Day,2025-09-20,NEXT_DAY,
Day,2025-09-20,Day,2025-09-21,NEXT_DAY,
Day,2025-09-21,Day,2025-09-22,NEXT_DAY,
Day,2025-09-22,Day,2025-09-23,NEXT_DAY,
Day,2025-09-23,Day,2025-09-24,NEXT_DAY,
Day,2025-09-24,Day,2025-09-25,NEXT_DAY,
Day,2025-09-25,Day,2025-09-26,NEXT_DAY,
Day,2025-09-26,Day,2025-09-27,NEXT_DAY,
Day,2025-09-27,Day,2025-09-28,NEXT_DAY,
Day,2025-09-28,Day,2025-09-29,NEXT_DAY,
Day,2025-09-29,Day,2025-09-30,NEXT_DAY,
Day,2025-09-30,Day,2025-10-01,NEXT_DAY,
Day,2025-10-01,Day,2025-10-02,NEXT_DAY,
Day,2025-10-02,Day,2025-10-03,NEXT_DAY,
Day,2025-10-03,Day,2025-10-04,NEXT_DAY,
Day,2025-10-04,Day,2025-10-05,NEXT_DAY,
Day,2025-10-05,Day,2025-10-06,NEXT_DAY,
Day,2025-10-06,Day,2025-10-07,NEXT_DAY,
Day,2025-10-07,Day,2025-10-08,NEXT_DAY,
Day,2025-10-08,Day,2025-10-09,NEXT_DAY,
Day,2025-10-09,Day,2025-10-10,NEXT_DAY,
Day,2025-10-10,Day,2025-10-11,NEXT_DAY,
Day,2025-10-11,Day,2025-10-12,NEXT_DAY,
Day,2025-10-12,Day,2025-10-13,NEXT_DAY,
Day,2025-10-13,Day,2025-10-14,NEXT_DAY,
Day,2025-10-14,Day,2025-10-15,NEXT_DAY,
Day,2025-10-15,Day,2025-10-16,NEXT_DAY,
Day,2025-10-16,Day,2025-10-17,NEXT_DAY,
Day,2025-10-17,Day,2025-10-18,NEXT_DAY,
Day,2025-10-18,Day,2025-10-19,NEXT_DAY,
Day,2025-10-19,Day,2025-10-20,NEXT_DAY,
Day,2025-10-20,Day,2025-10-21,NEXT_DAY,
Day,2025-10-21,Day,2025-10-22,NEXT_DAY,
Day,2025-10-22,Day,2025-10-23,NEXT_DAY,
Day,2025-10-23,Day,2025-10-24,NEXT_DAY,
Day,2025-10-24,Day,2025-10-25,NEXT_DAY,
Day,2025-10-25,Day,2025-10-26,NEXT_DAY,
Day,2025-10-26,Day,2025-10-27,NEXT_DAY,
Day,2025-10-27,Day,2025-10-28,NEXT_DAY,
Day,2025-10-28,Day,2025-10-29,NEXT_DAY,
Day,2025-10-29,Day,2025-10-30,NEXT_DAY,
Day,2025-10-30,Day,2025-10-31,NEXT_DAY,
Day,2025-10-31,Day,2025-11-01,NEXT_DAY,
Day,2025-11-01,Day,2025-11-02,NEXT_DAY,
Day,2025-11-02,Day,2025-11-03,NEXT_DAY,
Day,2025-11-03,Day,2025-11-04,NEXT_DAY,
Day,2025-11-04,Day,2025-11-05,NEXT_DAY,
Day,2025-11-05,Day,2025-11-06,NEXT_DAY,
Day,2025-11-06,Day,2025-11-07,NEXT_DAY,
Day,2025-11-07,Day,2025-11-08,NEXT_DAY,
Day,2025-11-08,Day,2025-11-09,NEXT_DAY,
Day,2025-11-09,Day,2025-11-10,NEXT_DAY,
Day,2025-11-10,Day,2025-11-11,NEXT_DAY,
Day,2025-11-11,Day,2025-11-12,NEXT_DAY,
Day,2025-11-12,Day,2025-11-13,NEXT_DAY,
Day,2025-11-13,Day,2025-11-14,NEXT_DAY,
Day,2025-11-14,Day,2025-11-15,NEXT_DAY,
Day,2025-11-15,Day,2025-11-16,NEXT_DAY,
Day,2025-11-16,Day,2025-11-17,NEXT_DAY,
Day,2025-11-17,Day,2025-11-18,NEXT_DAY,
Day,2025-11-18,Day,2025-11-19,NEXT_DAY,
Day,2025-11-19,Day,2025-11-20,NEXT_DAY,
Day,2025-11-20,Day,2025-11-21,NEXT_DAY,
Day,2025-11-21,Day,2025-11-22,NEXT_DAY,
Day,2025-11-22,Day,2025-11-23,NEXT_DAY,
Day,2025-11-23,Day,2025-11-24,NEXT_DAY,
Day,2025-11-24,Day,2025-11-25,NEXT_DAY,
Day,2025-11-25,Day,2025-11-26,NEXT_DAY,
Day,2025-11-26,Day,2025-11-27,NEXT_DAY,
Day,2025-11-27,Day,2025-11-28,NEXT_DAY,
Day,2025-11-28,Day,2025-11-29,NEXT_DAY,
Day,2025-11-29,Day,2025-11-30,NEXT_DAY,
Day,2025-11-30,Day,2025-12-01,NEXT_DAY,
Day,2025-12-01,Day,2025-12-02,NEXT_DAY,
Day,2025-12-02,Day,2025-12-03,NEXT_DAY,
Day,2025-12-03,Day,2025-12-04,NEXT_DAY,
Day,2025-12-04,Day,2025-12-05,NEXT_DAY,
Day,2025-12-05,Day,2025-12-06,NEXT_DAY,
Day,2025-12-06,Day,2025-12-07,NEXT_DAY,
Day,2025-12-07,Day,2025-12-08,NEXT_DAY,
Day,2025-12-08,Day,2025-12-09,NEXT_DAY,
Day,2025-12-09,Day,2025-12-10,NEXT_DAY,
Day,2025-12-10,Day,2025-12-11,NEXT_DAY,
Day,2025-12-11,Day,2025-12-12,NEXT_DAY,
Day,2025-12-12,Day,2025-12-13,NEXT_DAY,
Day,2025-12-13,Day,2025-12-14,NEXT_DAY,
Day,2025-12-14,Day,2025-12-15,NEXT_DAY,
Day,2025-12-15,Day,2025-12-16,NEXT_DAY,
Day,2025-12-16,Day,2025-12-17,NEXT_DAY,
Day,2025-12-17,Day,2025-12-18,NEXT_DAY,
Day,2025-12-18,Day,2025-12-19,NEXT_DAY,
Day,2025-12-19,Day,2025-12-20,NEXT_DAY,
Day,2025-12-20,Day,2025-12-21,NEXT_DAY,
Day,2025-12-21,Day,2025-12-22,NEXT_DAY,
Day,2025-12-22,Day,2025-12-23,NEXT_DAY,
Day,2025-12-23,Day,2025-12-24,NEXT_DAY,
Day,2025-12-24,Day,2025-12-25,NEXT_DAY,
Day,2025-12-25,Day,2025-12-26,NEXT_DAY,
Day,2025-12-26,Day,2025-12-27,NEXT_DAY,
Day,2025-12-27,Day,2025-12-28,NEXT_DAY,
Day,2025-12-28,Day,2025-12-29,NEXT_DAY,
Day,2025-12-29,Day,2025-12-30,NEXT_DAY,
Day,2025-12-30,Day,2025-12-31,NEXT_DAY,
Day,2025-12-31,Day,2026-01-01,NEXT_DAY,
Day,2026-01-01,Day,2026-01-02,NEXT_DAY,
Day,2026-01-02,Day,2026-01-03,NEXT_DAY,
Day,2026-01-03,Day,2026-01-04,NEXT_DAY,
Day,2026-01-04,Day,2026-01-05,NEXT_DAY,
Day,2026-01-05,Day,2026-01-06,NEXT_DAY,
Day,2026-01-06,Day,2026-01-07,NEXT_DAY,
Day,2026-01-07,Day,2026-01-08,NEXT_DAY,
Day,2026-01-08,Day,2026-01-09,NEXT_DAY,
Day,2026-01-09,Day,2026-01-10,NEXT_DAY,
Day,2026-01-10,Day,2026-01-11,NEXT_DAY,
Day,2026-01-11,Day,2026-01-12,NEXT_DAY,
Day,2026-01-12,Day,2026-01-13,NEXT_DAY,
Day,2026-01-13,Day,2026-01-14,NEXT_DAY,
Day,2026-01-14,Day,2026-01-15,NEXT_DAY,
Day,2026-01-15,Day,2026-01-16,NEXT_DAY,
Day,2026-01-16,Day,2026-01-17,NEXT_DAY,
Day,2026-01-17,Day,2026-01-18,NEXT_DAY,
Day,2026-01-18,Day,2026-01-19,NEXT_DAY,
Day,2026-01-19,Day,2026-01-20,NEXT_DAY,
Day,2026-01-20,Day,2026-01-21,NEXT_DAY,
Day,2026-01-21,Day,2026-01-22,NEXT_DAY,
Day,2026-01-22,Day,2026-01-23,NEXT_DAY,
Day,2026-01-23,Day,2026-01-24,NEXT_DAY,
Day,2026-01-24,Day,2026-01-25,NEXT_DAY,
Day,2026-01-25,Day,2026-01-26,NEXT_DAY,
Day,2026-01-26,Day,2026-01-27,NEXT_DAY,
Day,2026-01-27,Day,2026-01-28,NEXT_DAY,
Day,2026-01-28,Day,2026-01-29,NEXT_DAY,
Day,2026-01-29,Day,2026-01-30,NEXT_DAY,
Day,2026-01-30,Day,2026-01-31,NEXT_DAY,
Day,2026-01-31,Day,2026-02-01,NEXT_DAY,
Day,2026-02-01,Day,2026-02-02,NEXT_DAY,
Day,2026-02-02,Day,2026-02-03,NEXT_DAY,
Day,2026-02-03,Day,2026-02-04,NEXT_DAY,
Day,2026-02-04,Day,2026-02-05,NEXT_DAY,
Day,2026-02-05,Day,2026-02-06,NEXT_DAY,
Day,2026-02-06,Day,2026-02-07,NEXT_DAY,
Day,2026-02-07,Day,2026-02-08,NEXT_DAY,
Day,2026-02-08,Day,2026-02-09,NEXT_DAY,
Day,2026-02-09,Day,2026-02-10,NEXT_DAY,
Day,2026-02-10,Day,2026-02-11,NEXT_DAY,
Day,2026-02-11,Day,2026-02-12,NEXT_DAY,
Day,2026-02-12,Day,2026-02-13,NEXT_DAY,
Day,2026-02-13,Day,2026-02-14,NEXT_DAY,
Day,2026-02-14,Day,2026-02-15,NEXT_DAY,
Day,2026-02-15,Day,2026-02-16,NEXT_DAY,
Day,2026-02-16,Day,2026-02-17,NEXT_DAY,
Day,2026-02-17,Day,2026-02-18,NEXT_DAY,
Day,2026-02-18,Day,2026-02-19,NEXT_DAY,
Day,2026-02-19,Day,2026-02-20,NEXT_DAY,
Day,2026-02-20,Day,2026-02-21,NEXT_DAY,
Day,2026-02-21,Day,2026-02-22,NEXT_DAY,
Day,2026-02-22,Day,2026-02-23,NEXT_DAY,
Day,2026-02-23,Day,2026-02-24,NEXT_DAY,
Day,2026-02-24,Day,2026-02-25,NEXT_DAY,
Day,2026-02-25,Day,2026-02-26,NEXT_DAY,
Day,2026-02-26,Day,2026-02-27,NEXT_DAY,
Day,2026-02-27,Day,2026-02-28,NEXT_DAY,
Day,2026-02-28,Day,2026-03-01,NEXT_DAY,
Day,2026-03-01,Day,2026-03-02,NEXT_DAY,
Day,2026-03-02,Day,2026-03-03,NEXT_DAY,
Day,2026-03-03,Day,2026-03-04,NEXT_DAY,
Day,2026-03-04,Day,2026-03-05,NEXT_DAY,
Day,2026-03-05,Day,2026-03-06,NEXT_DAY,
Day,2026-03-06,Day,2026-03-07,NEXT_DAY,
Day,2026-03-07,Day,2026-03-08,NEXT_DAY,
Day,2026-03-08,Day,2026-03-09,NEXT_DAY,
Day,2026-03-09,Day,2026-03-10,NEXT_DAY,
Day,2026-03-10,Day,2026-03-11,NEXT_DAY,
Day,2026-03-11,Day,2026-03-12,NEXT_DAY,
Day,2026-03-12,Day,2026-03-13,NEXT_DAY,
Day,2026-03-13,Day,2026-03-14,NEXT_DAY,
Day,2026-03-14,Day,2026-03-15,NEXT_DAY,
Day,2026-03-15,Day,2026-03-16,NEXT_DAY,
Day,2026-03-16,Day,2026-03-17,NEXT_DAY,
Day,2026-03-17,Day,2026-03-18,NEXT_DAY,
Day,2026-03-18,Day,2026-03-19,NEXT_DAY,
Day,2026-03-19,Day,2026-03-20,NEXT_DAY,
Day,2026-03-20,Day,2026-03-21,NEXT_DAY,
Day,2026-03-21,Day,2026-03-22,NEXT_DAY,
Day,2026-03-22,Day,2026-03-23,NEXT_DAY,
Day,2026-03-23,Day,2026-03-24,NEXT_DAY,
Day,2026-03-24,Day,2026-03-25,NEXT_DAY,
Day,2026-03-25,Day,2026-03-26,NEXT_DAY,
Day,2026-03-26,Day,2026-03-27,NEXT_DAY,
Day,2026-03-27,Day,2026-03-28,NEXT_DAY,
Day,2026-03-28,Day,2026-03-29,NEXT_DAY,
Day,2026-03-29,Day,2026-03-30,NEXT_DAY,
Day,2026-03-30,Day,2026-03-31,NEXT_DAY,
Day,2026-03-31,Day,2026-04-01,NEXT_DAY,
Day,2026-04-01,Day,2026-04-02,NEXT_DAY,
Day,2026-04-02,Day,2026-04-03,NEXT_DAY,
Day,2026-04-03,Day,2026-04-04,NEXT_DAY,
Day,2026-04-04,Day,2026-04-05,NEXT_DAY,
Day,2026-04-05,Day,2026-04-06,NEXT_DAY,
Day,2026-04-06,Day,2026-04-07,NEXT_DAY,
Day,2026-04-07,Day,2026-04-08,NEXT_DAY,
Day,2026-04-08,Day,2026-04-09,NEXT_DAY,
Day,2026-04-09,Day,2026-04-10,NEXT_DAY,
Day,2026-04-10,Day,2026-04-11,NEXT_DAY,
Day,2026-04-11,Day,2026-04-12,NEXT_DAY,
Day,2026-04-12,Day,2026-04-13,NEXT_DAY,
Day,2026-04-13,Day,2026-04-14,NEXT_DAY,
Workout,Yoga_2025-04-15T17:09:00+01:00,SleepSession,2025-04-15,FOLLOWED_BY,
Workout,TraditionalStrengthTraining_2025-04-16T18:15:00+01:00,SleepSession,2025-04-16,FOLLOWED_BY,
Workout,Yoga_2025-04-17T17:30:00+01:00,SleepSession,2025-04-17,FOLLOWED_BY,
Workout,Cycling_2025-04-19T07:02:00+01:00,SleepSession,2025-04-19,FOLLOWED_BY,
Workout,TraditionalStrengthTraining_2025-04-21T07:00:00+01:00,SleepSession,2025-04-21,FOLLOWED_BY,
Workout,TraditionalStrengthTraining_2025-04-22T07:17:00+01:00,SleepSession,2025-04-22,FOLLOWED_BY,
Workout,Running_2025-04-23T17:17:00+01:00,SleepSession,2025-04-23,FOLLOWED_BY,
Workout,TraditionalStrengthTraining_2025-04-25T18:21:00+01:00,SleepSession,2025-04-25,FOLLOWED_BY,
Workout,TraditionalStrengthTraining_2025-04-28T06:11:00+01:00,SleepSession,2025-04-28,FOLLOWED_BY,
Workout,Running_2025-04-29T06:12:00+01:00,SleepSession,2025-04-29,FOLLOWED_BY,
Workout,Cycling_2025-05-01T18:01:00+01:00,SleepSession,2025-05-01,FOLLOWED_BY,
Workout,Cycling_2025-05-02T17:22:00+01:00,SleepSession,2025-05-02,FOLLOWED_BY,
Workout,Cycling_2025-05-03T08:04:00+01:00,SleepSession,2025-05-03,FOLLOWED_BY,
Workout,Cycling_2025-05-05T18:14:00+01:00,SleepSession,2025-05-05,FOLLOWED_BY,
Workout,TraditionalStrengthTraining_2025-05-06T17:22:00+01:00,SleepSession,2025-05-06,FOLLOWED_BY,
Workout,Cycling_2025-05-07T06:13:00+01:00,SleepSession,2025-05-07,FOLLOWED_BY,
Workout,Cycling_2025-05-08T18:15:00+01:00,SleepSession,2025-05-08,FOLLOWED_BY,
Workout,HighIntensityIntervalTraining_2025-05-09T17:25:00+01:00,SleepSession,2025-05-09,FOLLOWED_BY,
Workout,TraditionalStrengthTraining_2025-05-12T06:04:00+01:00,SleepSession,2025-05-12,FOLLOWED_BY,
Workout,Yoga_2025-05-13T18:30:00+01:00,SleepSession,2025-05-13,FOLLOWED_BY,
Workout,HighIntensityIntervalTraining_2025-05-14T17:19:00+01:00,SleepSession,2025-05-14,FOLLOWED_BY,
Workout,Yoga_2025-05-15T17:12:00+01:00,SleepSession,2025-05-15,FOLLOWED_BY,
Workout,Cycling_2025-05-16T08:14:00+01:00,SleepSession,2025-05-16,FOLLOWED_BY,
Workout,Cycling_2025-05-17T17:10:00+01:00,SleepSession,2025-05-17,FOLLOWED_BY,
Workout,Yoga_2025-05-20T07:22:00+01:00,SleepSession,2025-05-20,FOLLOWED_BY,
Workout,Running_2025-05-21T06:04:00+01:00,SleepSession,2025-05-21,FOLLOWED_BY,
Workout,TraditionalStrengthTraining_2025-05-23T07:23:00+01:00,SleepSession,2025-05-23,FOLLOWED_BY,
Workout,Cycling_2025-05-24T17:15:00+01:00,SleepSession,2025-05-24,FOLLOWED_BY,
Workout,HighIntensityIntervalTraining_2025-05-26T18:29:00+01:00,SleepSession,2025-05-26,FOLLOWED_BY,
Workout,Cycling_2025-05-27T07:14:00+01:00,SleepSession,2025-05-27,FOLLOWED_BY,
Workout,Cycling_2025-05-28T18:06:00+01:00,SleepSession,2025-05-28,FOLLOWED_BY,
Workout,HighIntensityIntervalTraining_2025-05-29T08:05:00+01:00,SleepSession,2025-05-29,FOLLOWED_BY,
Workout,Yoga_2025-05-31T08:24:00+01:00,SleepSession,2025-05-31,FOLLOWED_BY,
Workout,Running_2025-06-03T07:11:00+01:00,SleepSession,2025-06-03,FOLLOWED_BY,
Workout,Yoga_2025-06-04T18:27:00+01:00,SleepSession,2025-06-04,FOLLOWED_BY,
Workout,Running_2025-06-05T08:22:00+01:00,SleepSession,2025-06-05,FOLLOWED_BY,
Workout,Running_2025-06-06T07:12:00+01:00,SleepSession,2025-06-06,FOLLOWED_BY,
Workout,Yoga_2025-06-07T18:18:00+01:00,SleepSession,2025-06-07,FOLLOWED_BY,
Workout,Running_2025-06-09T17:02:00+01:00,SleepSession,2025-06-09,FOLLOWED_BY,
Workout,HighIntensityIntervalTraining_2025-06-10T17:21:00+01:00,SleepSession,2025-06-10,FOLLOWED_BY,
Workout,HighIntensityIntervalTraining_2025-06-11T06:05:00+01:00,SleepSession,2025-06-11,FOLLOWED_BY,
Workout,Yoga_2025-06-12T17:28:00+01:00,SleepSession,2025-06-12,FOLLOWED_BY,
Workout,Cycling_2025-06-13T18:18:00+01:00,SleepSession,2025-06-13,FOLLOWED_BY,
Workout,Cycling_2025-06-14T06:19:00+01:00,SleepSession,2025-06-14,FOLLOWED_BY,
Workout,HighIntensityIntervalTraining_2025-06-17T17:19:00+01:00,SleepSession,2025-06-17,FOLLOWED_BY,
Workout,Yoga_2025-06-18T08:14:00+01:00,SleepSession,2025-06-18,FOLLOWED_BY,
Workout,Yoga_2025-06-19T08:03:00+01:00,SleepSession,2025-06-19,FOLLOWED_BY,
Workout,Cycling_2025-06-20T07:11:00+01:00,SleepSession,2025-06-20,FOLLOWED_BY,
Workout,Running_2025-06-21T07:00:00+01:00,SleepSession,2025-06-21,FOLLOWED_BY,
Workout,HighIntensityIntervalTraining_2025-06-24T17:29:00+01:00,SleepSession,2025-06-24,FOLLOWED_BY,
Workout,HighIntensityIntervalTraining_2025-06-25T17:24:00+01:00,SleepSession,2025-06-25,FOLLOWED_BY,
Workout,TraditionalStrengthTraining_2025-06-28T07:08:00+01:00,SleepSession,2025-06-28,FOLLOWED_BY,
Workout,Cycling_2025-07-01T18:07:00+01:00,SleepSession,2025-07-01,FOLLOWED_BY,
Workout,TraditionalStrengthTraining_2025-07-02T08:00:00+01:00,SleepSession,2025-07-02,FOLLOWED_BY,
Workout,TraditionalStrengthTraining_2025-07-03T06:25:00+01:00,SleepSession,2025-07-03,FOLLOWED_BY,
